slug,t0_ms,end_ms,token_up,token_down
btc-updown-5m-1783296000,1783296000000,1783296300000,979813531395,124916133757
btc-updown-5m-1783296300,1783296300000,1783296600000,221313403151,161376161411
btc-updown-5m-1783296600,1783296600000,1783296900000,266617965474,330132723392
btc-updown-5m-1783296900,1783296900000,1783297200000,664370876669,115128589106
btc-updown-5m-1783297200,1783297200000,1783297500000,110596561790,455065497401
btc-updown-5m-1783297500,1783297500000,1783297800000,140119318040,295364492123
btc-updown-5m-1783297800,1783297800000,1783298100000,458828950363,193220141356
btc-updown-5m-1783298100,1783298100000,1783298400000,248874848034,152306306443
btc-updown-5m-1783298400,1783298400000,1783298700000,734290548310,101502563817
btc-updown-5m-1783298700,1783298700000,1783299000000,387256151732,488997797255
btc-updown-5m-1783299000,1783299000000,1783299300000,605692570286,817510646217
btc-updown-5m-1783299300,1783299300000,1783299600000,372316311395,434071916465
btc-updown-5m-1783299600,1783299600000,1783299900000,806035075224,161074236462
btc-updown-5m-1783299900,1783299900000,1783300200000,147778191594,715495395174
btc-updown-5m-1783300200,1783300200000,1783300500000,159580026483,693800087175
btc-updown-5m-1783300500,1783300500000,1783300800000,199211326368,145852392409
btc-updown-5m-1783300800,1783300800000,1783301100000,790306626152,105576798613
btc-updown-5m-1783301100,1783301100000,1783301400000,111705943053,849959796379
btc-updown-5m-1783301400,1783301400000,1783301700000,665671415230,790061165753
btc-updown-5m-1783301700,1783301700000,1783302000000,927926785735,576185946319
btc-updown-5m-1783302000,1783302000000,1783302300000,188715769886,526936762682
btc-updown-5m-1783302300,1783302300000,1783302600000,623853126122,857164245410
btc-updown-5m-1783302600,1783302600000,1783302900000,525963325874,328061541275
btc-updown-5m-1783302900,1783302900000,1783303200000,826173391983,101208758953
btc-updown-5m-1783303200,1783303200000,1783303500000,878727484631,126597472235
btc-updown-5m-1783303500,1783303500000,1783303800000,403037611951,301563186474
btc-updown-5m-1783303800,1783303800000,1783304100000,830340730553,259968509773
btc-updown-5m-1783304100,1783304100000,1783304400000,560227500526,142551489261
btc-updown-5m-1783304400,1783304400000,1783304700000,514028637673,957940964605
btc-updown-5m-1783304700,1783304700000,1783305000000,576059555087,275957667757
btc-updown-5m-1783305000,1783305000000,1783305300000,386863070788,938074757995
btc-updown-5m-1783305300,1783305300000,1783305600000,585447650134,710697254114
btc-updown-5m-1783305600,1783305600000,1783305900000,209362180284,791223036025
btc-updown-5m-1783305900,1783305900000,1783306200000,411667903020,798406415231
btc-updown-5m-1783306200,1783306200000,1783306500000,354502329389,165624313677
btc-updown-5m-1783306500,1783306500000,1783306800000,457114725137,595893578551
btc-updown-5m-1783306800,1783306800000,1783307100000,191151397466,562970943949
btc-updown-5m-1783307100,1783307100000,1783307400000,269575449874,645347366688
btc-updown-5m-1783307400,1783307400000,1783307700000,975920988412,411658139582
btc-updown-5m-1783307700,1783307700000,1783308000000,373611034578,115308641374
btc-updown-5m-1783308000,1783308000000,1783308300000,101103784878,169050203650
btc-updown-5m-1783308300,1783308300000,1783308600000,466360694715,194335164650
btc-updown-5m-1783308600,1783308600000,1783308900000,669494060100,308456166783
btc-updown-5m-1783308900,1783308900000,1783309200000,110349650998,516970904287
btc-updown-5m-1783309200,1783309200000,1783309500000,731303522857,456976772057
btc-updown-5m-1783309500,1783309500000,1783309800000,912386429589,986934435873
btc-updown-5m-1783309800,1783309800000,1783310100000,105521753930,940948925149
btc-updown-5m-1783310100,1783310100000,1783310400000,114197466788,104859662192
btc-updown-5m-1783310400,1783310400000,1783310700000,114257941273,102155087157
btc-updown-5m-1783310700,1783310700000,1783311000000,756389130311,526934916247
btc-updown-5m-1783311000,1783311000000,1783311300000,255732705590,945504836040
btc-updown-5m-1783311300,1783311300000,1783311600000,111836791002,401178155471
btc-updown-5m-1783311600,1783311600000,1783311900000,484166132827,301147805640
btc-updown-5m-1783311900,1783311900000,1783312200000,426675817453,161480098514
btc-updown-5m-1783312200,1783312200000,1783312500000,770485224519,407678600821
btc-updown-5m-1783312500,1783312500000,1783312800000,716948409315,679259473842
btc-updown-5m-1783312800,1783312800000,1783313100000,365386145910,754951751504
btc-updown-5m-1783313100,1783313100000,1783313400000,881789606175,424450775857
btc-updown-5m-1783313400,1783313400000,1783313700000,824406011778,845169649310
btc-updown-5m-1783313700,1783313700000,1783314000000,111067042462,927395018995
btc-updown-5m-1783314000,1783314000000,1783314300000,102848996781,869962242562
btc-updown-5m-1783314300,1783314300000,1783314600000,154574443675,105585431963
btc-updown-5m-1783314600,1783314600000,1783314900000,208760678085,808700962838
btc-updown-5m-1783314900,1783314900000,1783315200000,596147267953,172998573743
btc-updown-5m-1783315200,1783315200000,1783315500000,618200238815,108903946443
btc-updown-5m-1783315500,1783315500000,1783315800000,411446936512,356042724925
btc-updown-5m-1783315800,1783315800000,1783316100000,101678508086,307358051275
btc-updown-5m-1783316100,1783316100000,1783316400000,755621122252,260945017211
btc-updown-5m-1783316400,1783316400000,1783316700000,931568455072,281517712766
btc-updown-5m-1783316700,1783316700000,1783317000000,433079897253,864457479534
btc-updown-5m-1783317000,1783317000000,1783317300000,565451561888,111014148791
btc-updown-5m-1783317300,1783317300000,1783317600000,209907877807,876507145441
btc-updown-5m-1783317600,1783317600000,1783317900000,105114398471,197645840772
btc-updown-5m-1783317900,1783317900000,1783318200000,489164894659,809200249825
btc-updown-5m-1783318200,1783318200000,1783318500000,957884555295,503996109898
btc-updown-5m-1783318500,1783318500000,1783318800000,403482553487,602193684296
btc-updown-5m-1783318800,1783318800000,1783319100000,777352103793,512510931993
btc-updown-5m-1783319100,1783319100000,1783319400000,508175899286,636951849593
btc-updown-5m-1783319400,1783319400000,1783319700000,667482442698,958602025080
btc-updown-5m-1783319700,1783319700000,1783320000000,262604699476,655412612028
btc-updown-5m-1783320000,1783320000000,1783320300000,602257473304,627979988198
btc-updown-5m-1783320300,1783320300000,1783320600000,545718077289,537337844718
