ts_ms,price,recv_ms
1783359996000,63721.58,1783359996323
1783359997000,63721.59,1783359997389
1783359998000,63721.59,1783359998332
1783359999000,63719.19,1783359999378
1783360000000,63716.01,1783360000474
1783360001000,63716,1783360001354
1783360002000,63716.01,1783360002576
1783360003000,63716.01,1783360003401
1783360004000,63721.59,1783360004524
1783360005000,63721.58,1783360005446
1783360006000,63721.58,1783360006356
1783360007000,63721.59,1783360007325
1783360008000,63721.58,1783360008505
1783360009000,63716.01,1783360009329
1783360010000,63716.01,1783360010661
1783360011000,63716.01,1783360011680
1783360012000,63716,1783360012467
1783360013000,63716,1783360013383
1783360014000,63716,1783360014767
1783360015000,63718,1783360015429
1783360016000,63718,1783360016303
1783360017000,63717.99,1783360017400
1783360018000,63718,1783360018418
1783360019000,63718,1783360019407
1783360020000,63717.99,1783360020331
1783360021000,63724,1783360021410
1783360022000,63724,1783360022336
1783360023000,63731.52,1783360023459
1783360024000,63731.52,1783360024340
1783360025000,63724,1783360025325
1783360026000,63724.01,1783360026344
1783360027000,63724,1783360027347
1783360028000,63724.01,1783360028374
1783360029000,63720.3,1783360029393
1783360030000,63718.01,1783360030353
1783360031000,63718,1783360031331
1783360032000,63718.01,1783360032306
1783360033000,63718.01,1783360033494
1783360034000,63718.01,1783360034439
1783360035000,63718,1783360035337
1783360036000,63718,1783360036355
1783360037000,63708.01,1783360037483
1783360038000,63708,1783360038320
1783360039000,63708.01,1783360039352
1783360040000,63708,1783360040477
1783360041000,63708,1783360041481
1783360042000,63704,1783360042431
1783360043000,63704,1783360043381
1783360044000,63704.01,1783360044686
1783360045000,63704.01,1783360045475
1783360046000,63704.01,1783360046498
1783360047000,63704,1783360047373
1783360048000,63704,1783360048445
1783360049000,63704.01,1783360049317
1783360050000,63704.01,1783360050395
1783360051000,63704,1783360051380
1783360052000,63702,1783360052440
1783360053000,63702,1783360053390
1783360054000,63702,1783360054489
1783360055000,63702.01,1783360055491
1783360056000,63702,1783360056386
1783360057000,63702,1783360057455
1783360058000,63702,1783360058312
1783360059000,63702.01,1783360059345
1783360060000,63702,1783360060426
1783360061000,63702,1783360061604
1783360062000,63702.01,1783360062456
1783360063000,63702,1783360063468
1783360064000,63702,1783360064504
1783360065000,63702,1783360065603
1783360066000,63702,1783360066525
1783360067000,63702,1783360067500
1783360068000,63702,1783360068515
1783360069000,63702.01,1783360069335
1783360070000,63702.01,1783360070477
1783360071000,63702.01,1783360071505
1783360072000,63702,1783360072465
1783360073000,63702,1783360073510
1783360074000,63702.01,1783360074527
1783360075000,63702.01,1783360075535
1783360076000,63702.01,1783360076519
1783360077000,63702.01,1783360077543
1783360078000,63703.99,1783360078463
1783360079000,63704,1783360079575
1783360080000,63704,1783360080510
1783360081000,63703.99,1783360081829
1783360082000,63706.19,1783360082495
1783360083000,63709.99,1783360083521
1783360084000,63716,1783360084450
1783360085000,63719.99,1783360085553
1783360086000,63721.59,1783360086539
1783360087000,63725,1783360087563
1783360088000,63724.99,1783360088585
1783360089000,63725,1783360089511
1783360090000,63724.99,1783360090438
1783360091000,63724.98,1783360091542
1783360092000,63724.98,1783360092468
1783360093000,63724.98,1783360093542
1783360094000,63724.98,1783360094393
1783360095000,63724.99,1783360095549
1783360096000,63724.99,1783360096627
1783360097000,63724.98,1783360097598
1783360098000,63723.64,1783360098471
1783360099000,63723.64,1783360099513
1783360100000,63723.64,1783360100568
1783360101000,63723.64,1783360101464
1783360102000,63723.64,1783360102443
1783360103000,63723.64,1783360103471
1783360104000,63723.63,1783360104521
1783360105000,63723.63,1783360105482
1783360106000,63720.44,1783360106499
1783360107000,63718.01,1783360107569
1783360108000,63718.01,1783360108561
1783360109000,63718.01,1783360109489
1783360110000,63718.01,1783360110557
1783360111000,63718,1783360111421
1783360112000,63718,1783360112444
1783360113000,63718.01,1783360113676
1783360114000,63718.01,1783360114384
1783360115000,63718.01,1783360115580
1783360116000,63718,1783360116670
