ts_ms,price,recv_ms
1783188761000,63215.99920053246,1783188762482
1783188762000,63216.09560026623,1783188763092
1783188763000,63217.9666507573,1783188764140
1783188764000,63219.64336227488,1783188765156
1783188765000,63220.52668844126,1783188766135
1783188766000,63220.52931666943,1783188767284
1783188767000,63221.60190203197,1783188768257
1783188768000,63219.99590658301,1783188769373
1783188769000,63220.36387694899,1783188770378
1783188770000,63221.27336763051,1783188771382
1783188771000,63221.545976988826,1783188771892
1783188772000,63222.635993564974,1783188772931
1783188773000,63223.21668258778,1783188774017
1783188774000,63223.92029259261,1783188774951
1783188775000,63222.5494901444,1783188776296
1783188776000,63219.61886254841,1783188777354
1783188777000,63219.56762327432,1783188778280
1783188778000,63219.71789194361,1783188779270
1783188779000,63219.86703535215,1783188780297
1783188780000,63220.024860975616,1783188781378
1783188781000,63220.31462897109,1783188782421
1783188782000,63220.29024881748,1783188782913
1783188783000,63218.46512396192,1783188783946
1783188784000,63216.021947091795,1783188784920
1783188785000,63215.34060120233,1783188785933
1783188786000,63212.62610220577,1783188787002
1783188787000,63212.125765499986,1783188787997
1783188788000,63212.11926549998,1783188790071
1783188789000,63212.11876549998,1783188790663
1783188790000,63212.11876549998,1783188791107
1783188791000,63212.386927098545,1783188792300
1783188792000,63212.06398922703,1783188793302
1783188793000,63212.00948922703,1783188794463
1783188794000,63212.00848922703,1783188795225
1783188795000,63212.00698922703,1783188796478
1783188796000,63212.00448922703,1783188797550
1783188797000,63212.48068446405,1783188798107
1783188798000,63213.38172582931,1783188799185
1783188799000,63215.64803,1783188800294
1783188800000,63223.272776649275,1783188801395
1783188801000,63224.605325,1783188802387
1783188802000,63225.261093002,1783188803708
1783188803000,63226.1430858607,1783188804191
1783188804000,63224.26830346199,1783188805203
1783188805000,63224.277805,1783188806331
1783188806000,63225.228815,1783188807335
1783188807000,63225.50122621246,1783188808414
1783188808000,63225.50722621245,1783188808939
1783188809000,63225.50522621245,1783188810030
1783188810000,63225.502226212455,1783188811043
1783188811000,63225.49972621245,1783188812055
1783188812000,63226.802,1783188814343
1783188813000,63226.12139101811,1783188814387
1783188815000,63226.59649171129,1783188816220
1783188817000,63228.74245,1783188818242
1783188818000,63228.74495,1783188819330
1783188819000,63229.50741438603,1783188820319
1783188820000,63230.59872,1783188821421
1783188821000,63230.5635,1783188822330
1783188822000,63230.602905,1783188823377
1783188823000,63231.87626979284,1783188823906
1783188824000,63231.22462092668,1783188824969
1783188825000,63231.79335579711,1783188826026
1783188826000,63231.445535,1783188827016
1783188827000,63231.443705,1783188828153
1783188828000,63232.104795,1783188829087
1783188829000,63233.412025,1783188830666
1783188830000,63234.539759767,1783188831198
1783188831000,63235.83873251685,1783188832526
1783188832000,63235.83582906837,1783188833191
1783188833000,63235.241376578546,1783188834241
1783188834000,63237.17767564542,1783188835864
1783188835000,63238.150788330495,1783188836274
1783188836000,63237.995510190245,1783188837458
1783188837000,63240.28264230552,1783188837927
1783188838000,63242.70948425213,1783188839139
1783188839000,63242.37861775088,1783188840353
1783188840000,63244.0055103575,1783188841469
1783188841000,63244.64325855865,1783188842061
1783188842000,63244.90313306233,1783188843208
1783188843000,63245.26734279977,1783188844289
1783188844000,63245.53091018872,1783188845807
1783188845000,63245.53091018872,1783188846339
1783188846000,63245.521279598994,1783188847216
1783188847000,63245.503657914895,1783188848426
1783188848000,63242.90500660404,1783188849349
1783188849000,63241.43190921389,1783188850438
1783188850000,63240.48885197959,1783188851504
1783188851000,63239.55857363925,1783188852334
1783188852000,63239.55936059761,1783188853320
1783188853000,63241.932628195114,1783188854267
1783188854000,63243.59800678145,1783188855373
1783188855000,63244.13974852377,1783188856243
1783188856000,63249.48321317272,1783188857408
1783188857000,63253.352888693866,1783188858724
1783188858000,63257.41867203938,1783188859312
1783188859000,63263.94434528425,1783188860357
1783188860000,63272.5569200575,1783188861289
1783188861000,63273.861125,1783188862342
1783188862000,63268.43507,1783188863475
1783188863000,63267.80797547041,1783188864481
1783188864000,63264.84269868454,1783188865398
1783188865000,63262.24095266073,1783188866479
1783188866000,63262.360926543355,1783188867401
1783188867000,63262.98840142504,1783188868453
1783188868000,63263.57820028305,1783188869395
1783188869000,63264.79567488297,1783188870319
1783188870000,63266.187,1783188871880
1783188871000,63270.164535698794,1783188872643
1783188872000,63272.472965,1783188873457
1783188873000,63272.716705,1783188874298
1783188874000,63280.377621927815,1783188875842
1783188875000,63282.59039036543,1783188876585
1783188876000,63283.30337780624,1783188877273
1783188877000,63283.78620465319,1783188878625
1783188878000,63284.05121250756,1783188879277
1783188879000,63283.89225308926,1783188880759
1783188880000,63283.89389079239,1783188881436
1783188881000,63282.969359641305,1783188882330
1783188882000,63278.66523598806,1783188883668
1783188883000,63278.3837948972,1783188884528
1783188884000,63276.857543096194,1783188885281
1783188885000,63276.878467643524,1783188886669
1783188886000,63276.87600425642,1783188887410
1783188887000,63275.41425958596,1783188888022
1783188888000,63272.857138021114,1783188889407
1783188889000,63271.70351188701,1783188890520
1783188890000,63271.44903858873,1783188891236
1783188891000,63269.302022649346,1783188892578
1783188892000,63269.302022649346,1783188893111
1783188893000,63271.54673070999,1783188894663
1783188894000,63271.9753996979,1783188895269
1783188895000,63271.29921,1783188896002
1783188896000,63271.02972,1783188897129
1783188897000,63270.94852,1783188898261
1783188898000,63269.99005122662,1783188899278
1783188899000,63268.32786,1783188900884
1783188900000,63267.872735,1783188901348
1783188901000,63267.08951331471,1783188901976
1783188902000,63269.52603853281,1783188902892
1783188904000,63270.3567064766,1783188905151
1783188905000,63270.25298035067,1783188906315
1783188906000,63270.6274007345,1783188907647
1783188907000,63272.339981838166,1783188908963
1783188908000,63273.43912058829,1783188909946
1783188909000,63273.77637565468,1783188910648
1783188910000,63274.89061426395,1783188911413
1783188911000,63273.77630709261,1783188912372
1783188912000,63272.8081723268,1783188913950
1783188913000,63276.10657,1783188914692
1783188914000,63276.693083133774,1783188915574
1783188916000,63272.388,1783188917921
1783188917000,63274.33,1783188918728
1783188918000,63275.3769906219,1783188919545
1783188919000,63277.31809053397,1783188920555
1783188921000,63277.28600174814,1783188922887
1783188922000,63277.32264203803,1783188923639
1783188923000,63277.41132226278,1783188924359
1783188924000,63277.629308300886,1783188925299
